dmf,therapeutic_class,country,year
MF 016187,,Mexico,2002
MF 032448,Antifungals,Italy,2018
MF 017987,Antifungals,India,2005
MF 017330,Antifungals,India,2004
MF 030435,Antifungals,China,2016
MF 017790,Antifungals,Israel,2004
MF 030227,Anticonvulsants,China,2016
MF 029803,Anticonvulsants,India,2015
MF 028978,Gastrointestinal Agents,China,2014
MF 036484,Gastrointestinal Agents,China,2021
MF 014970,,Switzerland,2000
MF 029143,,China,2015
MF 024100,Anesthetics,India,2010
MF 024100,Dermatological Agents,India,2010
MF 022496,Anesthetics,China,2008
MF 017395,Antibacterials,Italy,2004
MF 017395,Otic Agents,Italy,2004
MF 019533,Cardiovascular Agents,China,2006
MF 028139,Cardiovascular Agents,India,2014
MF 019218,Cardiovascular Agents,India,2006
MF 031233,Blood Glucose Regulators,India,2017
MF 030964,Blood Glucose Regulators,India,2016
MF 031161,Blood Glucose Regulators,India,2016
MF 022191,,Denmark,2010
MF 023710,Cardiovascular Agents,India,2010
MF 035233,Cardiovascular Agents,United States,2021
MF 030564,Cardiovascular Agents,India,2016
MF 034073,Cardiovascular Agents,India,2019
MF 030746,Antineoplastics,Israel,2016
MF 017136,Antineoplastics,United States,2004
MF 021047,Antineoplastics,China,2007
MF 031303,,India,2017
MF 023254,,India,2009
MF 020845,,India,2007
MF 029853,,India,2015
MF 027764,,India,2013
MF 030627,,India,2016
MF 020654,,South Africa,2007
MF 015846,Analgesics,India,2002
MF 019149,Skeletal Muscle Relaxants,China,2006
MF 026248,Antimigraine Agents,China,2012
MF 026248,Skeletal Muscle Relaxants,China,2012
MF 026248,,China,2012
MF 016210,,China,2002
MF 031632,Skeletal Muscle Relaxants,China,2017
MF 027098,Respiratory Tract/Pulmonary Agents,India,2013
MF 019195,Analgesics,India,2006
MF 026589,Analgesics,China,2013
MF 017023,Cardiovascular Agents,Canada,2003
MF 033449,Blood Products and Modifiers,India,2018
MF 035969,Blood Products and Modifiers,India,2021
MF 033298,Blood Products and Modifiers,China,2018
MF 030613,Blood Products and Modifiers,India,2016
MF 031166,Blood Products and Modifiers,Poland,2016
MF 032361,,China,2017
MF 019547,Central Nervous System Agents,United States,2006
MF 027208,Central Nervous System Agents,United States,2013
MF 026870,Analgesics,India,2013
MF 032456,Antivirals,China,2017
MF 020559,,Italy,2007
MF 019856,,India,2006
