Products,Manufacturer,Manufacturing type,City,Country,Activeness,Volume,Lat,Long
Abaidoxdnwlcpekz,Dfzkzmtwipxvebku,Upstream,Fairfax,United States,Yes,702.6875191,-20.57939776,64.04267868
Iqltxbzvulwbbbom,Abaidoxdnwlcpekz,Downstream,Clifton,United States,Unconfirmed,492.102879,-44.07387391,-83.98886186
Nxmymazecdlwxkuh,Iqltxbzvulwbbbom,Upstream,Beijing,China,Yes,482.9725865,19.71649003,-74.70690995
Hjoklgdtxgneposu,Nxmymazecdlwxkuh,Downstream,Mumbai,India,Yes,679.8358236,44.11605647,64.20622067
Faskvxxdtzvjgrrz,Hjoklgdtxgneposu,Upstream,Berlin,Germany,Unconfirmed,313.560888,21.61288718,13.79352086
Nqjddrozrmaplzhj,Faskvxxdtzvjgrrz,Upstream,Fairfax,United States,Unconfirmed,647.8227699,-4.491349568,-57.42445024
Lfkmfszqyyptkqry,Nqjddrozrmaplzhj,Downstream,Clifton,United States,Unconfirmed,49.11406425,-33.03759246,-10.30028223
Mdsnoyvalryifmxs,Lfkmfszqyyptkqry,Upstream,Beijing,China,Yes,93.50260963,41.02947512,-45.5062565
Kciiwlcdxdedwuta,Mdsnoyvalryifmxs,Downstream,Mumbai,India,Yes,799.4788996,14.07652416,6.200249044
Gxiedbcwiljbddrw,Kciiwlcdxdedwuta,Upstream,Berlin,Germany,Yes,952.7909598,2.005760425,-41.22482807
Qmdqnwklsacwxhwg,Gxiedbcwiljbddrw,Upstream,Fairfax,United States,Unconfirmed,287.121601,-27.33638739,-62.09541661
Ujsqhlreeougpysi,Qmdqnwklsacwxhwg,Downstream,Clifton,United States,Unconfirmed,635.5749676,-33.88933194,-40.16017191
Uixvabjphtrnwhhm,Ujsqhlreeougpysi,Upstream,Beijing,China,Unconfirmed,308.8696141,42.45846678,54.04503749
Klsoruzkcpfmmurw,Uixvabjphtrnwhhm,Downstream,Mumbai,India,Unconfirmed,414.2569886,5.148899068,8.351737232
Dkargpbeoxsectrj,Klsoruzkcpfmmurw,Upstream,Berlin,Germany,Unconfirmed,866.2368048,-37.67512259,-60.01471476
